scenario,policy,run,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
baseline,no_intervention,0,7111985866.1342325,16382.0,0.421970186651549,16338.0,28837.405750405065,34.3309928778853,1.0
baseline,no_intervention,1,7114549130.426006,16388.0,0.42446553911190826,16347.0,28834.36126624904,33.679085094427926,1.0
baseline,no_intervention,2,7106134337.518752,16386.0,0.42281706572800193,16358.0,28793.673014963468,33.23055196818224,1.0
baseline,no_intervention,3,7076444517.20012,16389.0,0.42535848360362993,16355.0,28685.911024273795,34.134156959007335,1.0
baseline,no_intervention,4,7072478097.445819,16379.0,0.4258116444535864,16341.0,28591.532254681773,33.53065492862616,1.0
baseline,no_intervention,5,7160232209.632785,16383.0,0.4217691914533128,16352.0,28899.6782863843,34.033396812634315,1.0
baseline,no_intervention,6,7083763511.387155,16385.0,0.4250929934422127,16347.0,28676.336477876437,32.30554866705123,1.0
baseline,no_intervention,7,7083334684.920212,16384.0,0.4249684555391184,16349.0,28681.06666125285,32.909643885911166,2.0
baseline,no_intervention,8,7104375222.483192,16385.0,0.42310302703335406,16353.0,28729.123635942386,33.04365144045633,1.0
baseline,no_intervention,9,7134598232.217587,16381.0,0.42203658698287244,16348.0,28861.800234577688,33.13428213885426,2.0
baseline,no_intervention,10,7078912113.906656,16393.0,0.42462593952618477,16349.0,28638.92562007764,33.222782980185265,1.0
baseline,no_intervention,11,7108183254.927284,16385.0,0.42338052116778113,16343.0,28788.78923864338,33.30035455596163,1.0
baseline,no_intervention,12,7108683781.5117655,16385.0,0.4225229421357502,16350.0,28791.200922119533,33.77591485902777,1.0
baseline,no_intervention,13,7142407137.729548,16385.0,0.42339723551311764,16348.0,28818.450519828733,33.9511141672784,1.0
baseline,no_intervention,14,7097084318.153824,16386.0,0.423710861694938,16340.0,28706.148807750622,33.589345945500234,1.0
baseline,no_intervention,15,7114080949.526822,16385.0,0.42375962354926905,16346.0,28779.632663334207,32.444533919247384,1.0
baseline,no_intervention,16,7088929301.951563,16387.0,0.42515037811924217,16348.0,28674.320215784526,32.8559490825131,1.0
baseline,no_intervention,17,7091598008.277078,16382.0,0.4253333328079307,16357.0,28670.460421256535,33.05523326212717,1.0
baseline,no_intervention,18,7120011828.27348,16381.0,0.42181297811793644,16352.0,28831.245291321688,32.32231841633669,1.0
baseline,no_intervention,19,7055190727.378294,16388.0,0.4238848264519713,16361.0,28593.276567387056,33.94136400896025,1.0
baseline,no_intervention,20,7110578162.343782,16386.0,0.423519857422227,16353.0,28735.311212917855,34.44593065844018,1.0
baseline,no_intervention,21,7098649675.365419,16387.0,0.42464414301628534,16356.0,28732.08060736613,33.269612164462814,1.0
baseline,no_intervention,22,7087951912.392555,16381.0,0.42312862353707725,16352.0,28738.576364523386,33.59545617382435,1.0
baseline,no_intervention,23,7089554308.226244,16392.0,0.42318817135036774,16361.0,28724.866243379423,33.68135023490411,1.0
baseline,no_intervention,24,7116517766.941314,16390.0,0.4219447329291524,16354.0,28794.330007073742,33.69406791313281,1.0
baseline,no_intervention,25,7098520574.321589,16382.0,0.4244058837377377,16341.0,28707.379964005915,33.18949858855542,1.0
baseline,no_intervention,26,7055380340.3222275,16385.0,0.426106607752013,16339.0,28596.468872587306,32.43551973900045,1.0
baseline,no_intervention,27,7128839933.931992,16383.0,0.4225903781866314,16347.0,28866.20337026509,33.722492349292935,1.0
baseline,no_intervention,28,7127355849.592872,16387.0,0.4231455072730734,16352.0,28815.626446830098,33.486320276306266,1.0
baseline,no_intervention,29,7103153105.417493,16383.0,0.42357166192553136,16353.0,28727.222486682258,33.322673885365,1.0
baseline,no_intervention,30,7082905060.241118,16388.0,0.4243329358500178,16351.0,28695.80238973163,33.65322255299673,1.0
baseline,no_intervention,31,7105653898.620056,16384.0,0.42345377907093357,16349.0,28783.868602126473,32.66271760501574,1.0
baseline,no_intervention,32,7062800632.26992,16384.0,0.42520713071774274,16348.0,28580.4649712228,33.34862639117802,1.0
baseline,no_intervention,33,7107066212.491603,16384.0,0.42448696458468255,16353.0,28686.906869215454,33.69139483339587,1.0
baseline,no_intervention,34,7105104242.569698,16383.0,0.4254759461967681,16350.0,28757.099100334504,33.79596231902647,1.0
baseline,no_intervention,35,7127251195.996106,16386.0,0.42271103213825006,16354.0,28815.486227660505,33.98731368215882,1.0
baseline,no_intervention,36,7088569556.278957,16391.0,0.4241939910480307,16353.0,28682.024784592606,32.55629709177951,1.0
baseline,no_intervention,37,7085446777.795658,16387.0,0.42447045267668226,16349.0,28638.76280597362,34.34392742664497,1.0
baseline,no_intervention,38,7143382739.286881,16383.0,0.4225316908172136,16351.0,28866.98207361203,33.197620073405645,1.0
baseline,no_intervention,39,7081824737.521766,16388.0,0.425901870479333,16353.0,28640.449314983147,32.662849447058164,1.0
baseline,no_intervention,40,7080142023.402663,16386.0,0.4255570021016992,16346.0,28642.13168550331,33.03714202675868,1.0
baseline,no_intervention,41,7093659707.235838,16386.0,0.4248848249082563,16360.0,28728.093299261072,33.16884111834679,1.0
baseline,no_intervention,42,7113192443.000124,16388.0,0.4236283512246183,16347.0,28725.609762589887,33.53820642802408,1.0
baseline,no_intervention,43,7119594927.566799,16385.0,0.42252207907982725,16353.0,28832.66672860788,33.007220240028936,1.0
baseline,no_intervention,44,7060233143.591135,16384.0,0.4259194957902364,16348.0,28618.626054947334,34.23962653223561,1.0
baseline,no_intervention,45,7089960994.427162,16384.0,0.42387925382406894,16347.0,28745.20315636834,33.07775056409074,1.0
