scenario,policy,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
baseline,near_critical,6838363087.757942,16382.376,0.44796491949935036,16340.924,27538.227284720528,35.93587883558682,1.052
baseline,no_intervention,7099502927.501387,16385.476,0.42396912237763706,16349.204,28731.487815117347,33.33972289430066,1.04
baseline,traditional,6842582823.486517,16382.468,0.4471621731301431,16341.44,27576.883357381386,36.37248897428482,1.068
crisis_failures_2x,near_critical,7632909732.7630205,16386.52,0.38190489323844934,16358.824,30847.39415656024,40.041662123115394,1.0
crisis_failures_2x,no_intervention,7870557183.974372,16389.78,0.36003549421656883,16366.044,31930.799449601272,38.15724319560462,1.0
crisis_failures_2x,traditional,7642687382.891797,16386.976,0.3810924887034956,16360.44,30882.636147839454,40.31749027531174,1.0
demand_shock_20,near_critical,9279154295.476368,16397.812,0.3736533697705194,16368.872,37511.87563565828,35.755400176773556,1.04
demand_shock_20,no_intervention,9544952266.797215,16404.984,0.35340621206416223,16372.12,38727.56378718965,33.32346670373877,1.044
demand_shock_20,traditional,9290213203.691612,16397.556,0.37260754092159454,16368.852,37577.14027462971,36.28251165655801,1.064
leadtime_shock_50,near_critical,8258355068.141214,16383.792,0.3306170985236333,16362.228,33402.34995259741,25.488739020547612,1.056
leadtime_shock_50,no_intervention,8460201875.997471,16386.752,0.31243260289913644,16369.02,34307.46616156554,23.547780913021466,1.04
leadtime_shock_50,traditional,8268199836.4563,16384.048,0.3301120236316247,16363.42,33423.43892955915,25.900693324049108,1.068
near_critical,near_critical,9157999787.411549,16390.568,0.33696798895825225,16372.084,37063.09571119204,32.65413469962672,1.012
near_critical,no_intervention,9391471636.836596,16398.616,0.3181033362734315,16374.892,38118.24817080072,30.672524262907594,1.004
near_critical,traditional,9168328612.168732,16391.512,0.3361393509812556,16372.132,37099.22195904467,33.07082132290317,1.028
